basic methyl red
1/1/2006 12:59:45 PM
Wavelength (nm),Absorbance
510.00,0.049661
509.00,0.051961
508.00,0.053987
507.00,0.056091
506.00,0.058852
505.00,0.061279
504.00,0.063625
503.00,0.066460
502.00,0.069153
501.00,0.072119
500.00,0.075225
499.00,0.078416
498.00,0.081565
497.00,0.084624
496.00,0.088074
495.00,0.091720
494.00,0.095507
493.00,0.099042
492.00,0.102561
491.00,0.105887
490.00,0.109951
489.00,0.114048
488.00,0.118004
487.00,0.121698
486.00,0.125789
485.00,0.129672
484.00,0.133687
483.00,0.137906
482.00,0.141863
481.00,0.146100
480.00,0.149910
479.00,0.153752
478.00,0.157832
477.00,0.161976
476.00,0.165773
475.00,0.169736
474.00,0.173393
473.00,0.176990
472.00,0.181116
471.00,0.184572
470.00,0.188034
469.00,0.191376
468.00,0.194575
467.00,0.197830
466.00,0.201053
465.00,0.204264
464.00,0.207118
463.00,0.209872
462.00,0.212693
461.00,0.215233
460.00,0.217778
459.00,0.220156
458.00,0.222311
457.00,0.224299
456.00,0.226123
455.00,0.228173
454.00,0.230118
453.00,0.231728
452.00,0.233378
451.00,0.234663
450.00,0.235954
449.00,0.237393
448.00,0.238375
447.00,0.239434
446.00,0.240301
445.00,0.241175
444.00,0.241909
443.00,0.242720
442.00,0.243280
441.00,0.243700
440.00,0.244244
439.00,0.244612
438.00,0.245024
437.00,0.245469
436.00,0.245687
435.00,0.245869
434.00,0.245980
433.00,0.246068
432.00,0.246035
431.00,0.246080
430.00,0.246114
429.00,0.245942
428.00,0.245713
427.00,0.245701
426.00,0.245462
425.00,0.245329
424.00,0.245010
423.00,0.244710
422.00,0.244516
421.00,0.244129
420.00,0.243553
419.00,0.243143
418.00,0.242669
417.00,0.241780
416.00,0.241178
415.00,0.240578
414.00,0.239508
413.00,0.238625
412.00,0.237781
411.00,0.236765
410.00,0.235807
409.00,0.234577
408.00,0.233201
407.00,0.231927
406.00,0.230646
405.00,0.229280
404.00,0.227575
403.00,0.225675
402.00,0.224099
401.00,0.222421
400.00,0.220722
399.00,0.218712
398.00,0.216492
397.00,0.214334
396.00,0.211900
395.00,0.209581
394.00,0.207337
393.00,0.204830
392.00,0.202234
391.00,0.199418
390.00,0.196304
389.00,0.193773
388.00,0.190816
387.00,0.187957
386.00,0.184501
385.00,0.181349
384.00,0.178415
383.00,0.175414
382.00,0.172473
381.00,0.169004
380.00,0.165355
379.00,0.161789
378.00,0.158569
377.00,0.155250
376.00,0.151852
375.00,0.148550
374.00,0.145151
373.00,0.141600
372.00,0.138129
371.00,0.134840
370.00,0.131328
369.00,0.127902
368.00,0.124337
367.00,0.121275
366.00,0.118048
365.00,0.114515
364.00,0.111805
363.00,0.108227
362.00,0.105166
361.00,0.101852
360.00,0.099066
359.00,0.095957
358.00,0.093036
357.00,0.090137
356.00,0.087016
355.00,0.084277
354.00,0.081675
353.00,0.079272
352.00,0.076699
351.00,0.073802
350.00,0.071516


basic methyl red
1/1/2006 1:04:08 PM
Wavelength (nm),Absorbance
850.00,-0.000511
849.00,-0.000761
848.00,-0.001505
847.00,-0.000352
846.00,-0.001365
845.00,-0.002109
844.00,-0.000301
843.00,-0.001109
842.00,-0.000912
841.00,-0.001588
840.00,-0.001055
839.00,-0.001715
838.00,-0.001134
837.00,-0.001641
836.00,-0.000938
835.00,-0.000972
834.00,-0.000505
833.00,-0.001391
832.00,-0.000881
831.00,-0.000115
830.00,-0.000765
829.00,-0.000654
828.00,-0.000661
827.00,-0.001048
826.00,-0.001122
825.00,-0.000851
824.00,-0.000409
823.00,-0.001005
822.00,-0.000974
821.00,-0.001221
820.00,-0.000454
819.00,-0.000328
818.00,-0.000167
817.00,-0.000961
816.00,-0.000299
815.00,-0.001193
814.00,-0.000729
813.00,-0.000233
812.00,-0.000668
811.00,-0.000878
810.00,-0.000159
809.00,-0.000742
808.00,0.000282
807.00,-0.000268
806.00,-0.000935
805.00,-0.000919
804.00,0.000707
803.00,0.000532
802.00,0.000410
801.00,-0.000149
800.00,0.000183
799.00,-0.001189
798.00,-0.000668
797.00,-0.000497
796.00,-0.000324
795.00,-0.001274
794.00,0.000475
793.00,-0.000245
792.00,0.000099
791.00,-0.000001
790.00,0.000644
789.00,0.000413
788.00,0.000313
787.00,-0.000267
786.00,-0.001347
785.00,0.000270
784.00,-0.001464
783.00,-0.000149
782.00,-0.000612
781.00,0.000138
780.00,-0.000924
779.00,-0.000952
778.00,-0.000589
777.00,0.000743
776.00,0.000060
775.00,-0.000083
774.00,-0.000313
773.00,-0.000501
772.00,-0.001339
771.00,-0.000703
770.00,0.000751
769.00,0.000168
768.00,-0.001120
767.00,-0.000426
766.00,-0.000823
765.00,-0.000420
764.00,-0.000385
763.00,-0.000677
762.00,-0.000909
761.00,-0.000800
760.00,-0.000280
759.00,-0.000280
758.00,-0.000164
757.00,-0.000417
756.00,-0.000756
755.00,-0.000395
754.00,-0.000583
753.00,-0.000543
752.00,-0.000272
751.00,-0.000777
750.00,-0.000876
749.00,-0.000491
748.00,-0.000473
747.00,-0.000232
746.00,-0.000252
745.00,0.000028
744.00,-0.000487
743.00,-0.000100
742.00,-0.000910
741.00,-0.000818
740.00,-0.000513
739.00,0.000140
738.00,-0.000563
737.00,-0.001032
736.00,-0.000415
735.00,-0.000544
734.00,-0.000955
733.00,-0.000117
732.00,-0.000592
731.00,-0.000892
730.00,-0.000188
729.00,-0.000768
728.00,0.000608
727.00,-0.000924
726.00,-0.000790
725.00,0.000070
724.00,-0.000034
723.00,-0.000362
722.00,-0.000359
721.00,0.000202
720.00,-0.000246
719.00,-0.000256
718.00,0.000005
717.00,-0.000339
716.00,0.000283
715.00,-0.000229
714.00,-0.000352
713.00,-0.000030
712.00,0.000393
711.00,-0.000148
710.00,0.000298
709.00,-0.000293
708.00,0.000121
707.00,0.000301
706.00,-0.000281
705.00,-0.000362
704.00,-0.000438
703.00,-0.000313
702.00,-0.000417
701.00,-0.000076
700.00,-0.000108
699.00,-0.000145
698.00,-0.000060
697.00,-0.000323
696.00,-0.000044
695.00,-0.000286
694.00,-0.000007
693.00,-0.000191
692.00,0.000172
691.00,-0.000122
690.00,0.000122
689.00,0.000029
688.00,0.000393
687.00,0.000207
686.00,0.000029
685.00,-0.000321
684.00,0.000099
683.00,0.000071
682.00,-0.000119
681.00,-0.000005
680.00,-0.000171
679.00,0.000012
678.00,-0.000116
677.00,0.000114
676.00,-0.000119
675.00,0.000174
674.00,0.000192
673.00,-0.000007
672.00,-0.000057
671.00,0.000235
670.00,0.000321
669.00,0.000145
668.00,-0.000168
667.00,0.000633
666.00,0.000161
665.00,0.000544
664.00,-0.000001
663.00,0.000569
662.00,0.000246
661.00,0.000184
660.00,0.000082
659.00,0.000129
658.00,0.000353
657.00,0.000093
656.00,-0.000134
655.00,0.000049
654.00,-0.000203
653.00,0.000599
652.00,-0.000089
651.00,-0.000353
650.00,0.000068
649.00,0.000372
648.00,0.000613
647.00,0.000110
646.00,0.000318
645.00,0.000464
644.00,-0.000299
643.00,0.000365
642.00,0.000284
641.00,0.000456
640.00,0.000561
639.00,0.000749
638.00,0.000643
637.00,0.000269
636.00,-0.000153
635.00,0.000299
634.00,0.000095
633.00,0.000761
632.00,0.000573
631.00,0.000235
630.00,0.000321
629.00,0.000395
628.00,0.000284
627.00,0.000551
626.00,0.000540
625.00,0.000878
624.00,0.000616
623.00,0.000462
622.00,0.000602
621.00,0.000811
620.00,0.000366
619.00,0.000407
618.00,0.000434
617.00,0.000627
616.00,0.000763
615.00,0.000712
614.00,0.000815
613.00,0.000874
612.00,0.000855
611.00,0.000842
610.00,0.001098
609.00,0.000961
608.00,0.000919
607.00,0.001239
606.00,0.001606
605.00,0.001332
604.00,0.001155
603.00,0.001491
602.00,0.001387
601.00,0.001767
600.00,0.002140
599.00,0.002050
598.00,0.002211
597.00,0.002097
596.00,0.002243
595.00,0.002119
594.00,0.002410
593.00,0.002484
592.00,0.002848
591.00,0.002609
590.00,0.003406
589.00,0.003413
588.00,0.003556
587.00,0.003474
586.00,0.003788
585.00,0.004337
584.00,0.004668
583.00,0.004803
582.00,0.005006
581.00,0.005506
580.00,0.005884
579.00,0.006113
578.00,0.006485
577.00,0.006915
