Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
815.00,-0.007930,-0.005707,-0.000294,-0.006611,0.000227,-0.008667,0.003437
814.50,-0.009350,-0.011045,0.000479,-0.011666,-0.001609,-0.008063,-0.003112
814.00,-0.013916,-0.009689,-0.005890,-0.013212,-0.004685,-0.013117,-0.005063
813.50,-0.011516,-0.012762,-0.001848,-0.011622,-0.003243,-0.010780,-0.003345
813.00,-0.008601,-0.008948,-0.001549,-0.008981,0.000541,-0.006647,-0.000968
812.50,-0.014230,-0.012519,-0.007386,-0.012148,-0.008883,-0.015841,-0.004682
812.00,-0.010829,-0.009572,-0.001096,-0.011176,0.000740,-0.009653,0.000603
811.50,-0.005104,-0.007811,0.000055,-0.007322,0.001076,-0.006933,0.001622
811.00,-0.010979,-0.014779,-0.003018,-0.011806,-0.003832,-0.014362,-0.001416
810.50,-0.010577,-0.008786,-0.000124,-0.010197,-0.005587,-0.012028,-0.004106
810.00,-0.004925,-0.009008,0.001286,-0.007335,0.003049,-0.006116,0.004275
809.50,-0.005050,-0.006165,0.002163,-0.008118,0.001168,-0.005722,0.003167
809.00,-0.009561,-0.010174,-0.005221,-0.014009,-0.005644,-0.012391,-0.003451
808.50,-0.010233,-0.008745,0.002037,-0.009066,-0.002958,-0.013335,0.000206
808.00,-0.010044,-0.012848,-0.001128,-0.012621,-0.001526,-0.010991,-0.003349
807.50,-0.012297,-0.012664,-0.003004,-0.013723,-0.007625,-0.012158,-0.003978
807.00,-0.010795,-0.013754,-0.001617,-0.010488,-0.002973,-0.011167,-0.003788
806.50,-0.009470,-0.009246,-0.000702,-0.009565,-0.001811,-0.009706,-0.000285
806.00,-0.009195,-0.008649,-0.003112,-0.012017,-0.002414,-0.008989,-0.001444
805.50,-0.004887,-0.007127,-0.000079,-0.010347,0.000096,-0.011436,-0.000754
805.00,-0.006406,-0.006804,0.001391,-0.007522,0.002465,-0.004478,0.001176
804.50,-0.006771,-0.008307,0.003521,-0.008556,0.004483,-0.007525,0.000873
804.00,-0.007280,-0.005206,0.000110,-0.008580,0.001466,-0.009368,0.001861
803.50,-0.009527,-0.009999,-0.005043,-0.013184,-0.000525,-0.010703,-0.001058
803.00,-0.008473,-0.007915,0.001243,-0.010638,-0.000710,-0.008792,-0.002362
802.50,-0.012256,-0.013405,-0.005995,-0.012007,-0.006702,-0.010628,-0.004400
802.00,-0.004759,-0.006241,-0.000519,-0.010232,0.001658,-0.006817,0.005763
801.50,-0.010344,-0.012562,-0.002558,-0.011852,-0.004042,-0.009643,-0.002562
801.00,-0.005970,-0.006063,0.001731,-0.007451,0.000634,-0.007200,0.000206
800.50,-0.010203,-0.008972,-0.000273,-0.007976,-0.001332,-0.009627,-0.001461
800.00,-0.005483,-0.005107,0.000982,-0.005603,0.001098,-0.007870,0.000603
799.50,-0.006871,-0.009714,-0.001517,-0.007636,0.002629,-0.008817,0.000526
799.00,-0.008039,-0.010971,0.000372,-0.009285,-0.001034,-0.010168,-0.000867
798.50,-0.006817,-0.006555,0.001745,-0.004423,0.004138,-0.004646,-0.000500
798.00,-0.007593,-0.008069,0.001157,-0.006727,-0.000434,-0.006993,-0.001494
797.50,-0.009524,-0.009857,-0.001180,-0.008846,-0.002077,-0.009212,-0.003043
797.00,-0.006806,-0.008261,-0.000232,-0.009496,-0.000063,-0.008318,-0.000915
796.50,-0.008329,-0.006464,-0.000446,-0.007177,0.000960,-0.006938,-0.001135
796.00,-0.006885,-0.005177,0.001790,-0.005695,0.001125,-0.006197,0.001591
795.50,-0.005573,-0.008160,0.003538,-0.006777,0.000545,-0.005408,-0.001306
795.00,-0.008403,-0.009569,-0.000900,-0.008161,-0.001590,-0.009629,-0.001720
794.50,-0.008048,-0.008314,0.000946,-0.008862,0.000002,-0.009203,-0.000438
794.00,-0.009107,-0.007991,-0.004153,-0.009164,-0.001043,-0.012077,-0.004557
793.50,-0.007130,-0.006876,0.000105,-0.006912,0.000560,-0.005253,0.001574
793.00,-0.009075,-0.008313,-0.000552,-0.008262,0.000460,-0.010303,-0.001697
792.50,-0.007331,-0.010425,-0.004880,-0.011407,-0.000211,-0.010370,-0.001595
792.00,-0.005611,-0.010559,0.002469,-0.009943,-0.000817,-0.007906,0.001618
791.50,-0.007940,-0.008602,0.000335,-0.008082,0.002153,-0.007392,-0.001312
791.00,-0.004789,-0.005639,0.001687,-0.005612,0.002652,-0.005935,-0.002193
790.50,-0.004634,-0.007568,0.001209,-0.006747,0.000811,-0.008586,-0.001016
790.00,-0.006852,-0.005702,0.000180,-0.007474,-0.000304,-0.006485,-0.001896
789.50,-0.008439,-0.009169,-0.001109,-0.010733,0.000835,-0.009150,-0.001668
